decoded_french,labels,decoded_hyp_list
Une fille en châssis rose tente de déposer un,1,Une fille veut obtenir une autre fille mouillée.
Deux filles parlent sur une patinoire de glace.,2,Deux femmes participent à une course de patinage de vitesse.
Deux enfants jouant sur le sol avec des trains de jouets.,2,Les filles dorment sur le sol à côté des jouets.
"Homme en t-shirt blanc, shorts noirs, marche à côté",2,Trois personnes sont sur la lune.
"l’occasion d’un match de basket-ball féminin, elle",2,Les filles dansent.
Deux personnes en vêtements d'hiver glissent vers une colline couverte de neige,0,Les gens s'envolent sur une colline.
Le skieur fait un repli par certains arbres,2,L'homme est en ski nautique.
Deux femmes se trouvent dans le restaurant et rire.,1,Les surs prennent leur déjeuner hebdomadaire
Un homme en chemise de plaide et en pantalon brun qui,0,L'homme va à pied.
Un homme dans un kayak orange et un homme dans un kayak bleu à,2,Deux hommes assis devant un feu
Un jeune homme rouleant les manches sur son chandail.,0,L'adolescent touche son chandail.
Une femme utilise Frisbees pour jouer avec un chien devant une foule de,2,La femme se tient en ligne pour acheter un chien chaud.
"Une personne en vélo est à mi-air, en tournée autour",1,Une personne exécute des trucs devant une foule.
Un homme haut sur un raccord et marche et balance.,0,Un homme équilibre.
La voiture de course bleue élève le nuage de poussière sur la route à,2,Une voiture stationnée sur un bateau de traversier.
Un groupe de gens se sont rassemblés pour regarder les feux d'art,0,Chacun est à l'extérieur et regarde le ciel.
Les gens bouillants marchent dans la ville la nuit.,0,Personnes qui marchent dans la ville
Un petit enfant assis sur une soude dans un déboisement forest,2,un petit garçon pêche dans un étang
Une femme tient un bébé en se reposant au milieu d'une pièce.,2,Une femme tient un sac de riz au milieu de la ligne au supermarché.
Un homme ayant une chemise bleue et des lunettes a,0,L'homme tente d'attirer l'attention sur une image.
Man in leather jacket reading a book.,0,Un homme lise
Un joueur de football en tch bleu « Rams » s'envol,0,Les joueurs de football sont sur un terrain
"Un homme en vélo, portant un costume tout noir, semble s'il",0,l’homme en vélo fait un saut sur un pont
Deux petites filles en été chaud jouant dans une piscine.,-1,La fille est près de l'eau.
Un joueur de rugby en bleu plonge à l'endroit où il,2,Deux joueurs de rugby empruntent un magasin.
Un garçon qui évolue sur un carnaval se tourne pour une photographie.,2,Personne ne roule
Un athlète de l'équipe de hockey des Jets de Slough,1,Un joueur de hockey se réchauffe sur la piste.
Un homme ayant une chemise de plaide et un chapeau,0,Un homme qui mène une pelouse par le trottoir.
Ce couple à l'ombre d'un homme est à pied,1,Le couple est à un festival de musique.
"Une femme vêtue d'un chandail noir, de",1,Une femme est en attente.
Une personne qui écrit quelque chose dans un journal.,2,Une personne conduit un camion d'incendie.
"Deux chiens noirs sur un sol couvert de neige, le sol semble bleu en fond",1,La température est inférieure à zéro.
3 personnes qui empruntent un petit champ.,2,Trois personnes au centre commercial.
Une femme asiatique mélange des concombres.,0,Une femme s'enfonce à cuisiner.
Un homme s'élève à l'arrière-plan en,2,L'homme naît.
Les gens campent en groupe.,1,Les gens sont en voyage de camping familial.
Une femme tirera un enfant sur un traîneau dans la neige.,0,Un enfant est assis sur un traîneau.
Un médecin effectue une chirurgie.,2,Un médecin s'occupe de la cuisson.
Une femme ayant des chaussures et une jupe s'ét,1,"La femme s'enfonce à l'entreposage, à"
Un garçon en chemise rouge avec des bras en arrière de la,1,Un garçon prétend être un avion lorsqu'il roule sur une colline
Deux personnes âgées marchent ensoleillée dans la rue.,1,Les personnes âgées marchent leurs copains dans le parc.
"Trois filles se trouvent ensemble dans une pièce, une écoute, une",2,Les filles sont à l'extérieur.
Plusieurs éleveurs se trouvent à l'écart des autres,0,Les hommes équitent des chevaux.
Deux jeunes femmes se trouvent au milieu d'un jardin fleuri avec leurs,1,Les deux femmes admirent les fleurs.
Un homme en châssis noire en tête,1,Un homme tient quelque chose près de certains arbres à mesure que les
Un homme à cheveux curieux et une femme dans un tas,1,Un frère et une soeur jouent dans leur bande lors d
Une fille pose à l'extérieur.,1,Une fille prend une photo.
Un souriant homme portant un jigge de football porte une pile,0,L'homme titre les jeux vidéo
Certains joueurs jouent du ping-pong.,0,Certains joueurs jouent un jeu
La femme aide la bride à se dresser.,0,Une femme aide une mariée à se habiller.
La fille joue avec des lettres colorées sur le sol.,2,La fille joue un jeu vidéo dans le bain.
Les gens s'adonnent à leur routine quotidienne - vendre des,1,Les gens essaient de faire en sorte que leur journée soit la plus causale possible
Vieux homme à couverture grise sur l'étanchéité,2,Un vieux homme se tient avec une couverture sur son épaule.
Livre de lecture pour garçons avec l'entreprise d'un chien roul,2,L'enfant assiste au cirque.
Un chien blanc enneigé,2,Un chien blanc naissant dans un lac
Jeune femme pendant une représentation de danse moderne.,1,La jeune femme travaille.
Une personne qui flotte sur une rivière près d'une région métro,0,Une personne sur une rivière près d'une région métropolitaine.
Une femme caucasienne en somme bleue et en,2,L'homme mange un dîner avec son père.
Un petit chien à queue à sauter hors de l'eau,0,d’un saut humide de chiens
Les gens qui s'en tiennent à une bière et,2,Personnes qui ne sont pas en ligne
Une femme ayant un parapluie écoute sur un téléphone mobile dans la rue devant,2,Une femme se trouve à la maison et parle au téléphone.
Le surfer croît à bas et agit à la vague,1,La vague est énorme.
Les enfants ayant des visages rouges peints sont pulvérisé,0,Les enfants ont peint des visages.
Deux jeunes hommes jouent la trompette dans la robe traditionnelle de mariachi,2,Deux hommes vieux jouent des cartes en robe africaine traditionnelle
Un groupe de personnes marche sur une rampe en une journée nuageuse.,2,Les gens s'envolent.
Un homme en chemise bleue se tue sur un mur,0,L'homme porte une chemise bleue.
Une femme en chemise noire se tient dans une foule et,2,La femme se tient seule.
Deux hommes se battent devant un groupe de jeunes hommes.,2,Deux hommes marchent à leur casino préféré.
Un chien brun ouvre sa bouche pour prendre une pièce de nourriture.,0,Un chien capture des aliments.
"Deux chiens noirs sur un sol couvert de neige, le sol semble bleu en fond",2,Les chiens se reposent à l'intérieur.
Un petit garçon en châssis rayé se tient derrière,1,Le garçon attend de surprendre un ami.
plusieurs enfants attendent en ligne devant un camion de glace la nuit,2,Un groupe d'adolescents à un concert.
Une femme assise à l'intérieur en portant des lunettes,0,Une femme mange alors qu'elle se repose.
Un petit garçon assis sur le sol regardant sur certains hommes vêtus,0,Le petit garçon se trouve en arrière.
"Un bébé brunette portant une chemise rayée rouge et gris,",1,L'enfant est à un pique-nique
"Un homme noir bien construit se trouve dans le métro, écoutant les",2,Un homme danse pour des conseils dans la rue.
La salle à l'ampleur des jeunes réagit émotionnellement,1,a room full of kids crying at a movie.
une fille portant des chaussures roses saute d'un a,0,La fille est au parc.
Deux travailleurs de la construction assis autour d'un trou et un,1,Les travailleurs établissent une fuite d'eaux usées.
Un tissu latino-américain.,1,C'est une femme.
"Une petite fille portant un costume de bain rose, jaune et blanc, se",2,Une fille porte un costume pour travailler.
Un homme prend des photos à l'extérieur d'une voiture de rally,1,L'homme est un conducteur de voitures de course.
Un jeune homme en shorts de khaki et une chemise,-1,Le drapeau brésilien est vert et jaune.
Un jeu de soccer avec plusieurs mâles.,2,Un groupe d'hommes qui jouent un jeu de baseball.
Une fille dans un dessus de char rose et son ami assi,1,Un garçon et une fille se baignent.
Un homme ayant l'étiquette «Chris» qui porte une,1,L'homme est gras
Les gens portant des chemises rouges se trouvent dans une grande piscine,0,Une personne en chemise
Un groupe de jeunes hommes et de jeunes femmes est encerclé dans,0,Les hommes et les femmes sont jeunes.
Un homme d'une escalier à l'intérieur d'une,2,Un homme s'enfonce sur le trottoir.
Une fille en haine avec des oreilles et un chanda,1,Une fille porte le chapeau et le chandail qu'elle
Un surfer portant une chemise rouge prend une vague bleue énorme.,2,Le surfeur s'élimine sur une vague étendue.
Une femme en aval d'une piscine devant une chute.,1,La femme assise sur un dispositif flottant en caoutchouc
Un homme ayant une chemise blanche et des jeans bleus pati,1,L'homme n'a jamais patiné auparavant.
L'équipement de ski est assis seul sur une montagne neigée,2,Les skis d'eau sont assis sur un piégeage.
Un chien brun sur le point de prendre un frisbee vert.,2,Le chien dorme.
Un groupe de personnes se rassemble dans les bois autour d'arbres e,2,Les mineurs travaillent fort à la collecte du charbon.
Un homme cuit des tartes au four.,0,Le four a des tartes dans sa voûte.
Trois femmes préparent un repas dans une cuisine à l'aide de murs,0,Les femmes sont en cuisine.
Voici une petite fille qui boire sa soude à ce qui,2,La fille est en chirurgie
Un groupe d'hommes ayant des chapeaux de cowboy regarde un rod,0,Un rodéo a lieu
La personne en chemise jaune s'assure de nettoyage.,1,Une femme est à son emploi dans une maison.
"Une personne portant des lunettes de soleil, un écran et un drapeau",0,La personne a des bouteilles de bière abd a un drapeau
"Un jeune homme lave ses cheveux, brosse ses dents et rac",0,Le jeune homme se gagne en sa peau.
Une femme en veste noire à jaune sur le dos parlant à,0,Un homme possède quelques caméras.
"Une femme à cheveux gris portant des pantalons à tan, une vest",0,La femme a des cheveux gris.
Quatre athlètes jouent le volleyball de plage aux Jeux,1,Ils y gagneront cette année!
Deux enfants plongent côte à côte dans une rivière.,0,Deux humains sont sur le point d'entrer dans une rivière.
Le châssis bleu et les courtes rouges se,0,Le randonneur a des courtes à l'intérieur.
Une fille blonde à roues d'un t,1,La fille à roues rouleuse traverse une pelous
Un homme en tête grise et en jeans bleus,1,l’homme essayait de tirer le taureau dans l’é
Deux hommes tentent de se battre mutuellement.,2,Deux femmes se battent mutuellement.
"Un homme en vêtement de bicyclette jaune, blanc et bleu",2,Une fille emprunte un rouleau.
Un groupe de jeunes hommes asiatiques qui sont sans chemises et port,2,Les hommes sont sous-marins.
Deux personnes se s'encouragent à la fin d'un,-1,Deux personnes se trouvent dans des directions opposées.
Des gens protestant contre les raids de l'ICE devant une école.,0,Un groupe de personnes participent à une manifestation.
Rencontres de camions,0,Il existe des véhicules.
Un jeune homme en shorts de khaki et une chemise,2,Le jeune homme est à l'intérieur d'un gymnase.
Un homme sur snowboard.,1,Un garçon s'apprête à snowboarder sur une grande colline.
"Trois personnes en t-shirt, en casques jaunes et",1,Trois personnes montent une échelle pour sauver le soemone.
Un homme en robe assis sur le bord d'une t,2,L'homme est bouleversé.
Faire quelque chose de savoureux espoir que vous aimez les citron,2,Une femme céle à un trou dans une robe.
un grand groupe de personnes qui se trouvent derrière un podium sur les escaliers,2,Un groupe de personnes dormissent à l'extérieur d'un
Un homme en uniforme clair se trouve à l'extérieur d,1,Un homme a un uniforme de couleur bleue claire.
Trois femmes en robes festives dansent dans une grande rue ville,1,Trois femmes dansent devant les manifestants
Un chiot sain s'enfonce dans la cour,2,Un vieux chien dorme aux pieds de ses propriétaires.
Un petit enfant assis sur une soude dans un déboisement forest,2,un petit garçon joue de la peau et cherche dans les bois
Des gens protestant contre les raids de l'ICE devant une école.,1,Certaines personnes s'élevent illégalement devant un immeuble.
Plusieurs hommes en combinaison protectrice roulent un homme sur un gurn,2,Les ombudsmans quittent l'hôpital
"Un homme sans dessus, tatouant, pantalons noirs e",0,l’homme se tient
Un chien blanc marche sur une colline rocheuse.,1,Un chien se promène sur de grandes roches.
Quelques voyageurs dans une gare.,2,Plusieurs chiens attendent un voyage à la maison du parc de chiens.
Un jeune garçon et une jeune fille portant des courtes s',0,Personnes portant des courtes
Un enfant emprunte un cycle en unicycle tandis qu',2,Un enfant roule sur un trottoir à bicyclette.
Un homme et une femme et deux petits enfants se trouvent au,2,Les cadeaux ont tous été ouverts.
"Deux hommes examinent les freins avant sur un vélo, tandis qu",0,Une personne ayant une clé
"Deux hommes, l'un en vêtement gris et l'autre",1,Deux personnes regardent du toit.
Un homme et une femme se mourrissent sur une colline grass,0,L'homme et la femme sont à l'extérieur.
Un randonneur homme portant un chapeau brun se tient à côté,2,Le soleil s'envole de la tête à lame d'un
Un couple est marié dans une église à l'image des invités.,2,Les invités assistent à des funérailles.
"Un homme en costume jaune, fixant quelque chose sur le coin d'une",1,L'homme dans le costume est un réparateur.
Une jeune fille saute en haut avec l'aide de son h,1,Un enfant participe à la pratique du trampoline.
Un enfant regarde hors de la porte.,2,L'enfant dorme.
Un homme en chemise bleue et un homme aide le,0,Un homme porte une chemise bleue
Deux chiens sont liés à l'extérieur d'un atelier,0,Deux chiens sont liés près des bicyclettes.
Un chien noir boire à côté d'un chien brun et blanc,1,Deux chiens à cheveux courts de différentes couleurs boire par un lac.
"Un vendeur de rue en vêtements de chef avec un chariot de nourriture, qui",2,Le vendeur de rue est à la maison dîner de cuisine.
Une personne en canot vert s'entraîne en descente de rapide,1,une personne sur une rivière pratiquant un canot
"Les gens qui empruntaient la petite voiture blanche étaient presque frappés par le train,",2,Les personnes qui étaient en train de conduire la fourgonnette étaient
Autocar en vogue à l'occasion d'un congrès,0,"Lors d'un congrès, il y a une voiture Chevrolet"
Un homme plus âgé en bleu assis sur le trottoir entouré,1,Il y avait des outils pour éclairer quelque chose.
Un chien brun léger et sa queue dans l'air saute,0,Un chien saute vers l'eau.
Jeunesse garçon à l'arrière d'un hula,0,Un garçon est en hula et un homme est derrière lui
Un garçon dans un cap de baseball saute au-dessus d'un vol,0,Un garçon saute dans l'air.
Un groupe sur scène jouant une chanson avec une bannière en fond qui dit,0,Un groupe joue sur une scène.
Homme d'âge moyen en jeans et t-shirt bleu,-1,L'homme s'envole sur la pelouse avec un objet
Deux hommes indiens dansent en costumes avec une femme indienne dans une,2,Les deux hommes indiens portent des vêtements de sport.
Un homme en chemise noire se souvient d'une femme,1,Un homme s'enfouit à sa femme.
Un homme sur snowboard.,0,Un homme se tient sur une snowboard.
L'homme joue du golf à l'intérieur avec la mante.,1,Un homme porte un manteau noir.
Un jeune garçon étourdissant sur les épaules d'un,2,Une femme seule est à l'intérieur du dîner de cuisine pour son
Une petite fille et une petite femme portant des peintures et des,0,Une atmosphère de fête est présente où deux femelles ont leurs visage
Deux femmes s'acquittent de leurs tâches en gardant,1,Les surs se mament en gardant leurs pa
Un jeune homme joue un jeu vidéo de course.,2,un jeune homme s'envole à l'extérieur
Un patineur en arrière chevauchant son patineur à,2,Une petite fille lance la tête de sa poupée.
"Une équipe en chandails jaune, rouge et bleu se trouve",2,Le mascot du tigre est tout seul.
Deux personnes sur scooters dans un champ de fleurs.,1,Les deux personnes mènent une course avec leurs scooters.
Une personne s'approche jusqu'à toucher le dispositif lumineuse,1,Elle change le bulbule d'éclairage
Un petit garçon achète des légumes à un homme plus âgé.,1,Un garçon achète des tomates et du brocoli d'un
Deux hommes jouant du baseball avec le jigge noir et rouge,1,L'homme en noir et rouge est sur le point de remporter la victoire
Un homme portant un uniforme de la Marine américaine et une femme,2,Deux personnes regardent avec excitance un événement
Une femme portant un écouteau rouge se réveille à la,2,Une femme joue le basket-ball dans le parc.
Une jeune fille qui est à pieds nus et a un,0,l'adolescent a écrit
"L'homme marche avec des bâtiments à hauteur de l'homme, avec des",1,L'homme marchait pour rencontrer un ami.
Un enfant en peau rouge et noire pond sur son dos dans,0,C'est un jour froid.
Un joueur de football en tch bleu « Rams » s'envol,1,Les joueurs de football se divertissent
Un homme nage dans la piscine avec un enfant dans une veste de sauve,0,L'homme est dans l'eau.
Une petite fille blonde est enfouie dans une couverture de,0,Une petite blonde a une couverture autour de elle.
Quatre hommes plus âgés jouent des instruments musicaux dans un parc par un,0,Quatre hommes jouent de la musique à l'extérieur.
l'intention des chiens,1,Les chiens tentent de mettre les vaches à l'intérieur d
Un groupe de femmes observe que deux hommes tentent de fixer leurs vélos.,2,Les femmes fixent des vélos comme les hommes regardent.
Un homme et un enfant travaillant sur un puzzle.,1,Un père aide sa fille à s'étonner.
Un garçon pose en karate et en uniforme.,2,une fille montre sa fille scouts cookies
Une femme en dessus de tan et en jeans assis,1,Une femme est en vacances.
"Un homme en robe de bronze, portant des lunettes de couleur bronze,",0,Un homme porte un costume et des lunettes.
Un chanteur blond portant une chemise noire chante dans,0,Une personne chante dans un microphone.
"Les coureurs du Japon, de l'Allemagne et de la Chine courent",1,Le fonctionnement est rapide
Les gens vêtus de costumes marchent dans une rue.,1,Les gens se portaient en costumes pour se préparer à voler une maison.
Un chien transportant un bâton dans sa bouche traverse un champ,0,Un animal transportait un bâton dans un champ couvert de neige.
Une protestation avec une personne portant une robe noire et munie,0,Les gens protestent.
Un homme se tient dans des noix de coco tout en essayant d,1,Un triste homme se tient dans des noix de coco tout en essayant
Un garçon se tue à l'extérieur de sauter sur une br,1,d’un garçon sur son patinoire qu’il a reçu pour No
Un homme sur un plancher de ski nautique fait un ralentissement.,2,Le guy regarde la télévision.
Une personne en chemise à capuchon photographie un arbre près de certaine,2,Une personne en chemise à capuchon traverse un champ avec des fu
Quatre jeunes hommes s'assujettent au sol à proximité,1,Quatre hommes se trouvent à l'intérieur parce qu'il
Deux hommes font des achats de jus d'orange.,2,Deux hommes font des achats pour l’épicerie
Un petit garçon à cheveux rouge s'envole sur une colline grasse,0,Un petit garçon à cheveux rouges en descente sur une colline.
Les Indiens vêtus de magnifiques couleurs lumineuses mènen,1,Les Indiens ayant un rituel pour célébrer leur anniversaire
Une personne qui exécute un truc de snowboard sur une haute montagne.,2,Un jeune homme a l'habitude de prendre sa petite amie
Un homme portant un chapeau dur s'envole dans la rue.,2,Un homme exécute un défilé avec des chiens.
Un vélour se trouvent en hauteur et en arrière,0,Le vélo est un homme.
Un groupe d'hommes se trouvent sur des échafaud,1,Les hommes peuvent peindre le mur noir.
L'autobus bleu stationné avec la porte arrière ouverte en,1,Un homme marche par un autobus en sa route vers le travail.
Un garçon en traîneau s'enfonce sur la pente,1,Un garçon s'enroule sur sa traîne rouge
une femme assise dans un dessus de polka noir et des,0,Une femme en polka s'asseit à trois sacs e
Une femme en robe bleue s'enfonce sur le plancher,1,La femme s'enfonce en préparation.
Un homme portant un chapeau du Père tient une photo à la class,0,Un homme montre une photo à une classe.
Une femme assise sur le sol en recouverte d',0,La femme décore quelque chose.
Deux ciseaux allemands se sillonnent l'un,1,Deux animaux sont enlevés par le feuillage.
Un médecin effectue une chirurgie.,1,Un médecin fait un bon travail.
Une femme se trouve dans un stand de rue où il y a divers articles,0,La femme est sur un marché de rue.
Un homme ayant des cheveux foncés de longueur d'ép,2,Un homme peuplier détient une cigarette.
Un groupe de personnes se trouvent autour d'un jeune homme portant,2,Les gens naissent au club de la piscine
Un père ayant une chemise rouge et une barbe s'en,1,"Un père lise à ses enfants, en s'envolant"
Un enfant et un petit chien en cour.,0,Un enfant et un chien se joignent ensemble.
Un gentleman en chemise et en cap noir se trouve sous un to,1,Un homme de taille en cap
Quatre jeunes hommes s'assujettent au sol à proximité,2,Quatre hommes se jouent dans la cour.
Deux jeunes filles jouent de grands instruments à cordes derrière des,0,Les filles sont des musiciens.
Quatre hommes en roulement dans un bateau gris et en mouvement,1,Un groupe d'aristrocrates riches se trouvent en s'
Deux personnes s'envolent à vélo à travers une maison et,0,Deux personnes empruntent un vélo.
Une femme en vêtement noir s'écroule dans la rue à,0,La femme est à l'extérieur.
Deux voitures stationnées sur le côté d'une rue avec sept personnes exécut,2,Sept personnes tentent de déplacer une voiture hors du trottoir.
L'enfant à cheveux et à oeil bleu tient,0,Un enfant joue avec un avion de jouet.
Un homme en pantalon noir à pieds par un mur à l',0,Un homme se trouve près d'une structure.
Un jeune garçon tombe de son patinoire dans un pieux de feuilles brunes,1,C'est sa première patinoire.
Une personne escalade une falaise qui surplombe l'eau.,1,Un homme s'élève.
Un jeune garçon en s'inscrivant dans un costume rayé orange,1,Le garçon est âgé de moins de 18 ans.
Un homme s'assiste à l'extérieur en portant des,1,La personne est sur le terrain.
Un homme ayant des cheveux foncés et une peau brune,0,Un homme à cheveux foncés se trouve dans une pièce fon
"Un conducteur de musique dirige son orchestre dans une grande salle, où un",1,Un chef de direction dirige une symphonie de Beethoven devant une foul
Un jeune homme souriant se tient à l'intérieur avec son pied,1,Le jeune homme se tient sur son scooter et ses petits frères scooter simultan
Il y a deux travailleurs l'un est enfoncé avec,1,Le travailleur s'enfonce à tirer une clé du
un chien tan saute sur un jouet rouge et bleu,1,Un chien qui joue des trucs pour le propriétaire de hsi.
Deux adolescentes se détendent sur un futon noir,1,Deux jeunes filles attendent que leur mère se prépare.
Chef travaillant dans une cuisine.,1,La chef est célèbre dans le monde et essaie de nouvelles recettes à
Un homme à cheveux blanc se retient dans un tampon de siège,0,"l’homme se retient dans un siège sur un bateau, en l"
"Une jeune fille, attrayante et à la mode pose pour la",0,une fille pose pour caméra
"Il y a un bâtiment blanc, avec plusieurs personnes et une montagne à",1,Les gens s'infiltrent dans l'immeuble.
Trois personnes portent des vêtements de nylon bleu étroit et un instructeur,2,Trois personnes portent des vêtements de nylon brun lâche et un instructeur
Sept personnes évoluent sur une piste sablonneuse.,0,Les gens évoluent à vélo.
"Deux enfants, qui se trouvent entre l'herbe, mettent leurs",0,Deux enfants souriants.
Le joueur de baseball portant l'uniforme « irlandais »,2,Deux personnes jouent avec un football tandis qu'un prêtre regarde
Une jeune fille blonde qui tient des étoiles regarde,1,La fille a des cheveux de longueur d'épaule.
Les femmes et les enfants assis à l'extérieur en,1,Il est très ensoleillé à l'extérieur.
Trois femmes se trouvent dans une pièce.,1,Trois tristes femmes se trouvent dans une pièce.
Un homme en sommet pulvérise une bouteille de,0,Un homme assis et fait des méfaits.
"un groupe d'hommes se bat devant un bar dans une ville européenne,",2,Les gens qui prient dans une église.
Un homme saute jusqu'à son lit fils.,1,L'homme est muré.
Un chien brun se saute dans l'eau d'une roche,1,Un chien se saute dans un lac à partir d'une roche
"Deux combattants, le dernier en bas, est en attente et",0,Un combattant se bat sur le fond de son combat
"Un groupe de personnes vêtues comme un wizard, une reine e",1,Vous êtes habillés pour le halloween
Une femme tient un chien sur une laisse devant un petit piégeage.,1,Le petit chien est retenu par la femme qui tient la laisse.
"L'homme en vélo, avec des vêtements et un casque sur le vélo",1,L'homme évolue dans une course à vélo.
Un papillon a été éclairé sur la tête de ce jeune fille,2,Un papillon tente de tuer un bébé dormant.
Une femme portant un sac à achat devant le papillon de Fisher.,2,une femme assise dans un café
Enfant à l'intérieur d'un grand fort de neige.,1,Un enfant s'est arrêté dans une énorme pile de neige.
"Un Noir, portant une capuchon, assis dans un autobus.",0,Un homme voyage en transport en commun.
Un travailleur de la construction mâle s'est enfoncé,2,Un travailleur de la construction mange un sandwich pendant sa pause-déje
Une brunette dans un ensemble floral multicolore et un collier de perles,2,une femme dorme
Un chien qui capture un frisbee.,2,Un chien qui consomme des aliments.
Un homme en veste noire et en jeans bleus porte un,1,homme à la date
Trois personnes sortent d'une fourgonnette.,1,Un groupe de trois hommes quittent leur fourgonnette ombragée.
Une femme ayant un dessus de char rose et deux chaussures différentes pose,1,Une femme pose à côté de sa sur à l’
"Un chien brun, noir et blanc écorçant un arbre.",2,Les chiens mâchent sur de délicieux os.
Un jeune garçon et une jeune fille jouant des Pokemon.,2,Les adultes se battent.
Une femme en chemise rose tient un ballon d'air chaud,2,Une fille en vole un kite.
Une vieille femme s'efforce de se mettre en panne sur,-1,d'une femme vendant des biens sur le marché local
d'un homme qui fait des coups sur une moto,0,Un homme fait des talons sur une moto.
Un père aide son fils à rouler un vélo à travers des terre,0,Un père aide son fils
Une foule de gens dans une ouverture à peu de neige recouverte,0,Les gens se trouvent près d'un immeuble.
L'homme à long cur en jeans bleus portant un tamb,1,Un homme porte un tambour en parlant au téléphone de son prochain spectacle.
"Une femme tient son enfant hors de la fenêtre rouge, à côté",2,La télévision détient une femme qui détient un enfant.
Deux enfants empruntent la rue sur le trottoir près de l'immeuble,0,Les enfants sont à l'extérieur.
Un patineur glisse sur un escalier.,1,Un patineur affiche un truc lors d'un concours de patineurs.
"Un jeune couple assis sur la couche, la femme portant une chemise",0,Un couple assis sur le canapé
Quatre hommes portent des calottes rouges de baseball et des,2,Un groupe de petites filles danse.
"Huit femmes en robes claires, s'emb",2,Les femmes portent des manteaux foncés.
Un homme a lutté une bougie alors qu'une femme,2,Deux femmes gênent sur un banc.
Trois ascenseurs en verre avec des personnes à l'intérieur,0,Personnes en ascenseur.
Une femme et un enfant nus s'envolent dans l,2,Une femme et un enfant se peuvent se cacher et cherchent
"Un homme noir bien construit se trouve dans le métro, écoutant les",0,Un homme ayant des écouteurs sur le métro se trouve dans un
Un homme et une femme assivent à une table devant un panneau qui,1,Deux personnes participent à une dégustation de vin.
Une femme en châssis violet achetant des aliments,0,Une femme fait un achat auprès d'un vendeur extérieur.
Deux petits garçons mangent McDonald's en assise à une table,1,Deux enfants mangent des repas à l'extérieur.
"Une femme en châssis bleu, aprone blanche",0,Une femme se trouve près d'un jar de verre.
Une jeune fille orientale reçoit de l'aide d'un adulte,2,La fille assise sur un cheval en bois sur un écureuil
Un homme portant un chapeau dur orange est abaissé sur le côté,1,L'homme travaille sur le bâtiment.
Cinq personnes assient sur des chevaux à un rodéo.,1,Un groupe de cowboys se trouvent sur des chevaux.
Un homme en état de laboratoire en regardant un microscope avec des contenan,2,Un homme en état de laboratoire prend le sang d'une femme.
Un homme en chapeau rouge et en veste bleue dans une,1,L'homme qui proteste est caucasien.
Un groupe d'enfants asiatiques se rassemble dans un cercle où,2,Un homme porte une chemise noire
Une femme regarde à droite et tient une mini caméra.,2,Une femme regarde vers elle gauche.
Un homme se tient sur le trottoir près d'un poste,2,L'homme est sur un navire.
Une femme observe une voiture antique rusée.,0,Une femme regarde une vieille voiture.
Un groupe d'enfants assis autour d'une table t,2,Les enfants sont en boue d'un seul fichier.
Une femme prie alors qu'une jeune fille fléchit un,0,La femme prière.
Une femme extrêmement humide s'envole devant une chute de chute.,1,Une femme en aval s'étend en face d'une chute
Les nageurs de polo d'eau qui se disputent une balle,0,Un groupe de nageurs de polo d'eau qui naissent
Un combattant de sumo accepte une récompense.,2,Un combattant se bat.
Un afro-américain portant un sac à dos rouge regard,2,asian porte un sac à dos rouge
L'homme joue en bande un tambour électronique.,1,L'homme est le seul batteur dans la bande.
Un groupe de gens marchent dans une zone surpeuplée.,1,Un groupe de gens marchent dans un champ.
Un homme dans une région urbaine s'enfonce sur les trott,0,Un homme s'enfonce.
Une fille travaille à une sorte d'expérimentation en laboratoire alors qu',0,Une fille travaille à une expérience de laboratoire.
Une femme portant des lunettes de soleil tient un cellulaire rose à son,0,Une femme est sur son cellulaire.
Deux filles s'enfoncent pour la caméra.,1,Les gens disent « chevelu ».
Une femme vêtue d'un vêtement noir et une femme,1,Une femme s'enfuit.
Une fille en costume papillon s'envahit à la foul,0,Une fille s'enfonce à une foule de gens.
Un homme sans chemise dorme dans son bateau bleu sur les eaux libre,2,L'homme est éveillé à l'arrière dans le lit de
Un homme assis sur le sol sculptant une noix verte avec un gros,0,Un homme se tient en arrière.
Un homme dans une chemise noire peint une copie en double,0,L'homme peint quelque chose.
Un homme qui marche devant un mur de ciment noir avec un sac sur son,1,Un homme est dans une allée.
Un garçon tombe de son scooter pendant un cours d'obstacle.,0,Une personne tombe de son scooter pendant un cours d'obstacle.
Trois personnes sur une plage.,0,Les gens ont chacun une tête.
Un homme ayant une calotte et une chemise brune se,1,Un agriculteur mène son cheval en transportant du foin
"Deux vélos évoluent le long d’une rue dans un marathon,",1,Les gens s'encouragent à l'égard des cycliste
Deux femmes portant des jupes et des trottoirs.,1,Certaines femmes marchent au magasin.
Deux femmes en combinaison de bain montent des pieux de roches par,1,Les femmes essaient de se montrer à l'aise avec leurs conjoints
Deux garçons tiennent des nids rouges et l',0,Les personnes sont impliquées dans des activités de loisirs
Une foule se rassemble le long de la traîne d'un,2,Un groupe de jeunes hommes s'assurent sur leurs clochers
Belle voiture rouge parmi de nombreux à une foire de voitures animées,1,Les passionnés de voitures étaient tous des hommes.
Une fille noire et blanche marchant main et main dans une zone,2,Certains enfants jouent dans la cour d'enfants.
Un éventail de motorcyclistes colorés se rassemblent à l',1,Un gang de vélos évoluant dans les rues.
d’un groupe de personnes qui se rendent en direction de la caméra.,2,Un groupe de garçons joue le football sur un terrain grass.
